,,,,,,
DISTRITOS - CONCELHOS - FREGUESIAS - LUGARES - ORAGOS ,,,,,,
Produzido por Genealogiafb.blogspot.pt,,,,,,
,,,,,,
Distrito,Concelho,Freguesia,Lugares (Census 2011),Orago da Freguesia,Notas sobre a Freguesia,
Aveiro,Águeda,Recardães,Casainho de Baixo,São Miguel,,
Aveiro,Águeda,Recardães,Crasto,São Miguel,,
Aveiro,Águeda,Recardães,Fujacos,São Miguel,,
Aveiro,Águeda,Recardães,Paredes,São Miguel,,
Aveiro,Águeda,Recardães,Póvoa da Carvalha,São Miguel,,
Aveiro,Águeda,Recardães,Póvoa da Igreja,São Miguel,,
Aveiro,Águeda,Recardães,Póvoa da Marta,São Miguel,,
Aveiro,Águeda,Recardães,Póvoa das Laceiras,São Miguel,,
Aveiro,Águeda,Recardães,Póvoa do Poço,São Miguel,,
Aveiro,Águeda,Recardães,Randam,São Miguel,,
Aveiro,Águeda,Segadães,Aldeia,São Pedro,,
Aveiro,Águeda,Segadães,Fontinha,São Pedro,,
Aveiro,Águeda,Segadães,Mourisca,São Pedro,,
Aveiro,Águeda,Segadães,Segadães,São Pedro,,
Aveiro,Águeda,Travassô,Almear,São Miguel,,
Aveiro,Águeda,Travassô,Arrotinhas,São Miguel,,
Aveiro,Águeda,Travassô,Cabanões,São Miguel,,
Aveiro,Águeda,Travassô,Monte,São Miguel,,
Aveiro,Águeda,Travassô,Travassô,São Miguel,,
Aveiro,Águeda,Travassô,Valas,São Miguel,,
Aveiro,Águeda,Trofa,Cheira,São Salvador,,
Aveiro,Águeda,Trofa,Crastovães,São Salvador,,
Aveiro,Águeda,Trofa,Mourisca,São Salvador,,
Aveiro,Águeda,Trofa,São Sebastião,São Salvador,,
Aveiro,Águeda,Trofa,Segadães,São Salvador,,
Aveiro,Águeda,Trofa,Trofa do Vouga,São Salvador,,
Aveiro,Águeda,Valongo do Vouga,Aguieira,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Aldeia,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Arrancada do Vouga,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Brunhido,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Carvalhal,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Carvalhal Portela,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Carvalhosa,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Cavadas de Baixo,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Cavadas de Cima,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Cavadeira,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Cumeada,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Espinheiros,São Pedro,,
Aveiro,Águeda,Valongo do Vouga,Fermentões,São Pedro,,
